TF	target	weight	tf_expression	target_expression
TFCP2L1	SLC26A4	266.9649847064017	130.0	52.0
CDX4	NGFR	264.1331578818944	1483.0	3279.0
LHX2	RAX	261.7088964251822	3132.0	3394.0
RAX	LHX2	234.58653037915352	3394.0	3132.0
GATA2	KRT19	201.22374705788835	28720.0	18053.0
TFCP2L1	SLC16A3	187.72402597813056	130.0	4610.0
SNAI2	SOX9	185.53220731285657	746.0	3115.0
PITX2	PITX1	182.9885481558398	314.0	492.0
GATA2	OLFM4	179.61657758047747	28720.0	33509.0
OTX2	OTX1	173.00271619840726	3804.0	6658.0
TFCP2L1	TECPR1	171.020558104691	130.0	94.0
TFCP2L1	ZNF750	168.15517709289838	130.0	253.0
ZIC3	ZIC1	165.53160301877378	11178.0	8507.0
NEUROG1	GADD45G	164.842730739215	1623.0	1930.0
GATA2	GATA3	164.12127800373767	28720.0	3837.0
TFCP2L1	ESRRG	163.07431323326435	130.0	162.0
SOX9	SNAI2	161.24566008477265	3115.0	746.0
GATA2	TLL2	158.5665806396697	28720.0	9613.0
TFAP2C	TFAP2A	156.44701429421335	22320.0	14352.0
ESRRG	TFCP2L1	156.32728834163214	162.0	130.0
OTX1	OTX2	152.83132879002775	6658.0	3804.0
NEUROG1	ELAVL3	150.22181374393926	1623.0	9843.0
NEUROG1	INSM1	143.74677541330786	1623.0	1163.0
PITX1	PITX2	143.45723770509477	492.0	314.0
LHX2	PAX6	143.1497687108014	3132.0	5494.0
TFAP2A	TFAP2C	139.98062954242968	14352.0	22320.0
SNAI2	SOX8	139.7489054628379	746.0	645.0
TP63	FLNA	136.84051284406505	1886.0	4745.0
GATA2	ESRP1	136.5046531679987	28720.0	6098.0
GATA2	UGDH	135.091944965991	28720.0	6447.0
GATA2	GFPT1	134.69628445305176	28720.0	7467.0
GATA2	ZIC3	134.3134629072744	28720.0	11178.0
TFCP2L1	ATP6AP2	133.0010218199245	130.0	1059.0
ZIC1	ZIC3	132.67730361412737	8507.0	11178.0
GATA2	KRT8	132.67157557454357	28720.0	26617.0
NEUROG1	DLL1	132.6006736108858	1623.0	1431.0
SP5	CDX4	131.71699402013112	5483.0	1483.0
GATA3	GATA2	131.22150711733215	3837.0	28720.0
TFCP2L1	BSG	130.86633985767125	130.0	6194.0
TFCP2L1	ATP6AP1	128.45665696970195	130.0	95.0
FOXI1	LRWD1	127.52535771408108	5892.0	5664.0
GATA2	ZIC1	124.60535380399068	28720.0	8507.0
TFCP2L1	ATP6V1B2	124.13984052695956	130.0	495.0
TFCP2L1	CPEB2	124.01772608088946	130.0	907.0
GATA2	AHNAK	123.17332315185672	28720.0	18230.0
GATA2	FOXI1	121.24168115319604	28720.0	5892.0
TFCP2L1	CLDN4	119.03085821984072	130.0	1238.0
GATA2	TP63	118.3407802319994	28720.0	1886.0
GATA2	AKAP12	117.63285746537169	28720.0	14425.0
EBF3	TUBB2B	117.09774923280824	981.0	1091.0
GATA2	ID2	116.24749808055704	28720.0	3442.0
NEUROG1	PRPH	115.90620546808792	1623.0	1406.0
TFCP2L1	RCAN1	114.7203371028296	130.0	670.0
