TF	target	weight	tf_expression	target_expression
EGR2	EPHA4	237.3417483821449	1385.0	2226.0
HOXD3	EGR2	199.1325867727105	1351.0	1385.0
EGR2	HOXD3	176.58692807094906	1385.0	1351.0
ZNF12	ZNF33A	168.89748838746607	288.0	54.0
HOXD3	MAFB	130.48783815875197	1351.0	2360.0
EGR2	MAFB	128.44843431683975	1385.0	2360.0
MAFB	EGR2	125.49518860632637	2360.0	1385.0
TFAP2C	SOX9	108.7511272740196	7655.0	5469.0
ALX1	RPE65	103.16221158525929	491.0	1589.0
NR2F1	EPHA2	99.70121647629912	755.0	1387.0
SOX9	TFAP2C	98.55035549289926	5469.0	7655.0
MAFB	HOXD3	92.3089118803494	2360.0	1351.0
HOXD3	EPHA4	84.71882497236776	1351.0	2226.0
HOXB6	LTBP1	81.06973075152587	231.0	464.0
HOXB6	TNC	71.82766837808063	231.0	1086.0
EGR2	TUBB2B	70.1029634270198	1385.0	1043.0
ZIC3	C9	69.80072856771247	2514.0	60896.0
TFAP2C	C9	65.33232412515922	7655.0	60896.0
MEIS2	EFNB2	64.29591617602753	2529.0	1870.0
TFAP2B	TFAP2E	63.70229791395447	9996.0	5096.0
NR2F1	CYP26C1	62.13184451413716	755.0	1326.0
MYCN	DLX2	60.84513398970036	15323.0	2973.0
E2F7	RRM2	60.84351171310457	1013.0	10509.0
ZIC3	MYCN	60.216857866522034	2514.0	15323.0
OTX1	DMBX1	59.97357530411135	459.0	478.0
MYCN	EEF1B2	58.90055763424112	15323.0	19434.0
SNAI2	DLX2	58.78285943164267	5684.0	2973.0
ALX1	FOXC2	57.09069380385653	491.0	887.0
ZIC3	ZIC1	56.7355960194477	2514.0	3767.0
DLX2	TMEM119	56.03509593019995	2973.0	2474.0
DLX2	SNAI2	55.12101614395287	2973.0	5684.0
HOXD3	HOXA3	54.72793487565754	1351.0	382.0
NR2F1	EFNB2	54.5849397546949	755.0	1870.0
FOXC2	RPE65	54.52232793084404	887.0	1589.0
MAFB	EPHA4	53.91886264516277	2360.0	2226.0
DLX2	MYCN	53.69407853370545	2973.0	15323.0
DMBX1	OTX1	52.8084488269334	478.0	459.0
