TF	target	GRNboost2_weight	MACS2_score (chip)
TFAP2A	EGR2	11.794849194882175	
TFAP2A	RAB3IL1	10.14913862105117	
TFAP2A	TFAP2C	8.370555479148353	35.0
TFAP2A	MYC	7.7025052393829085	63.0
TFAP2A	INKA1	7.5334257783536	254.0
TFAP2A	FLNA	7.079976447240574	
TFAP2A	ADAM19	6.353809695390277	
TFAP2A	PIK3CB	6.313264780963388	
TFAP2A	TUBB2B	5.7809800603880594	
TFAP2A	TRPM7	5.757261191591998	
TFAP2A	VARS	5.620825536101815	
TFAP2A	SNAI2	5.292373702160633	183.0
TFAP2A	FAU	5.2395203337196845	
TFAP2A	DMBX1	5.14612795683891	
TFAP2A	PCNA	5.101986743078828	
TFAP2A	SFRP1	4.7636217277865285	
TFAP2A	OLIG2	4.725698700660063	146.0
TFAP2A	TNC	4.7086436699723935	
TFAP2A	VCP	4.587997260779082	
TFAP2A	GINS4	4.558121493153839	
TFAP2A	ETS1	4.48634352648109	47.0
TFAP2A	SNAI1	4.481223225601512	
TFAP2A	NFX1	4.422036437916728	
TFAP2A	EPHA4	4.254363277135397	72.0
TFAP2A	DPAGT1	4.228720641535151	
TFAP2A	IER2	4.208618576733481	
TFAP2A	GLUD1	4.11299465844832	
TFAP2A	HEBP1	4.08527047412309	
TFAP2A	HIC2	4.041695641443672	100.0
TFAP2A	SEMA3A	4.03491503457853	
TFAP2A	GPATCH4	3.9577410672419946	
TFAP2A	PPARD	3.945506936947675	
TFAP2A	KANSL2	3.9165512093544463	
TFAP2A	C1ORF131	3.896678328548597	
TFAP2A	SGK1	3.8259340642376327	
TFAP2A	PLPP1	3.80389495172126	
TFAP2A	COX7A2	3.762871095105759	
TFAP2A	CFI	3.7466456265109622	
TFAP2A	STRN3	3.639718012955051	
TFAP2A	PCDH7	3.603195296024693	
TFAP2A	PPP4R1	3.551252576971541	
TFAP2A	R3HDM1	3.5328317678466363	
TFAP2A	LTBP1	3.4454700989182445	
TFAP2A	GTPBP4	3.364337927861609	
TFAP2A	RBBP6	3.2518838873828626	
TFAP2A	ZNF703	3.206950300533349	
TFAP2A	TDP1	3.155083602431316	
TFAP2A	SEPT2	3.154171042029833	
TFAP2A	SMTN	3.113712476643566	56.0
TFAP2A	ACKR3	3.0757339469936342	
TFAP2A	NKAP	3.0567345702606694	
TFAP2A	CARS	2.98770962147596	
TFAP2A	MRTO4	2.978197879309177	
TFAP2A	HNRNPA0	2.88442950754212	
TFAP2A	UQCR10	2.8693411112295872	
TFAP2A	UTP20	2.772217797699922	
TFAP2A	APOE	2.767835868115954	
TFAP2A	CCT6A	2.7659151082606925	
TFAP2A	ZNF608	2.7376524190560296	
TFAP2A	SNCAIP	2.7096672845433085	
TFAP2A	NAA25	2.702291953541365	
TFAP2A	PSMB4	2.682172358931876	
TFAP2A	HDAC9	2.6792266107049114	54.0
TFAP2A	ZNF711	2.6778156282989523	
TFAP2A	ZEB1	2.676668732683736	
TFAP2A	MAFB	2.6660995483234826	
TFAP2A	FAM129B	2.657388192035548	
TFAP2A	MCM3	2.6416238298423904	
TFAP2A	RNPS1	2.6407813871673893	
TFAP2A	NCOA5	2.640330484247937	
TFAP2A	PINX1	2.6358480231550447	
TFAP2A	WDR83OS	2.619271920342329	
TFAP2A	GSPT1	2.6107781274526456	
TFAP2A	GLRA2	2.6095033807535803	
TFAP2A	MPZL1	2.6032471738853946	
TFAP2A	RPAIN	2.581632500516775	
TFAP2A	CCDC124	2.5782039086591926	60.0
TFAP2A	PAIP2B	2.5758787617980263	
TFAP2A	CTSC	2.558546008179727	
TFAP2A	FBLN1	2.551975083620978	
TFAP2A	SOX8	2.535233247788264	47.0
TFAP2A	SRP72	2.535033649081724	
TFAP2A	SSB	2.4716100627894875	
TFAP2A	SF3B5	2.429657040084543	
TFAP2A	METTL4	2.397117646131789	
TFAP2A	RWDD1	2.392117993611658	
TFAP2A	VPS36	2.360293241602069	
TFAP2A	RRM2	2.310962569960481	
TFAP2A	RAP1A	2.297646983070248	
TFAP2A	RPUSD3	2.2971872175570045	
TFAP2A	ZEB2	2.2894074989768565	51.0
TFAP2A	CASP9	2.2461367479680847	
TFAP2A	MTHFD2	2.2345582391730354	
TFAP2A	ZNF503	2.224424535241204	
TFAP2A	KCNK9	2.218256699349064	
TFAP2A	HOXD3	2.2107781808824667	
TFAP2A	CFB	2.20644326282386	
TFAP2A	CLDN1	2.191668959022389	180.0
TFAP2A	YIPF5	2.1762528538633767	
TFAP2A	RAB34	2.154489920094684	81.0
TFAP2A	TFEC	2.143809019776008	
TFAP2A	HOXB3	2.1410607767104164	
TFAP2A	CD2BP2	2.1385938536085485	
TFAP2A	ZSWIM4	2.1191975494329505	121.0
TFAP2A	CYP26A1	2.108255738316303	
TFAP2A	SNRNP70	2.0832924947225067	
TFAP2A	XPR1	2.0317364095063715	
TFAP2A	TNRC6B	2.0106892738406152	
TFAP2A	BTBD6	1.9662500920444257	
TFAP2A	SARNP	1.960833452046873	
TFAP2A	ADNP	1.9355444160244144	
TFAP2A	CRABP2	1.911276445821409	
TFAP2A	NRP2	1.9103864035683131	
TFAP2A	NOC3L	1.9083476058881337	
TFAP2A	STMN1	1.904671905153153	
TFAP2A	TMEM150B	1.90430915828122	
TFAP2A	OTUD6B	1.8854774450255511	
TFAP2A	GNAI1	1.875026144736242	
TFAP2A	FAM210B	1.8708534043506235	
TFAP2A	CTU2	1.859984711224954	
TFAP2A	ZFP62	1.8559554833300111	
TFAP2A	EIF3J	1.853609454119144	
TFAP2A	EXOSC8	1.841363598908636	
TFAP2A	RSPH9	1.8359569714426132	
TFAP2A	DONSON	1.8285632458570145	
TFAP2A	HOXB6	1.8256783068691684	
TFAP2A	POLG	1.8167452108292288	
TFAP2A	UCP2	1.7821911003352318	
TFAP2A	GTSF1	1.74723617825211	
TFAP2A	PIM1	1.7468255303202025	125.0
TFAP2A	THUMPD1	1.7358615397223272	
