TF	target	target_in_MO	GRNboost2_weight	MO_log2FC	MO_abs_diff	MO_change	MACS2_score (chip)
TFAP2E	TFAP2B	tfap2b.l	48.11283853459791	-2.5296121861464247	2642.5	decreased	116.0
TFAP2E	TFAP2B	tfap2b.s	48.11283853459791	-3.111449386009302	2319.5	decreased	116.0
TFAP2E	DACT1	dact1.l	28.060556234267125	-1.724902856324686	1384.5	decreased	343.0
TFAP2E	DACT1	dact1.s	28.060556234267125	-0.947857694482652	458.0	not changed	343.0
TFAP2E	SOX10	sox10.l	27.210179911492475	-3.973991995888885	7541.0	decreased	287.0
TFAP2E	SOX10	sox10.s	27.210179911492475	-4.446146839508431	6291.5	decreased	287.0
TFAP2E	SNCAIP	sncaip.l	26.6436086388907	-2.9115519729783816	336.0	decreased	41.0
TFAP2E	SNCAIP	sncaip.s	26.6436086388907	-2.9937680462884857	101.0	decreased	41.0
TFAP2E	EGFLAM		20.97817076931725				446.0
TFAP2E	C9		19.811539281893648				860.0
TFAP2E	SHB		18.105806002193138				423.0
TFAP2E	ZIC3	zic3.l	17.888279241129514	1.2734138941515083	1783.0	increased	503.0
TFAP2E	ZIC3	zic3.s	17.888279241129514	1.695117205292067	1683.0	increased	503.0
TFAP2E	SOX5	sox5.l	17.806789785599676	-2.104049870222122	193.0	decreased	456.0
TFAP2E	SOX5	sox5.s	17.806789785599676	-1.5783688190383538	726.0	decreased	456.0
TFAP2E	SNAI2		17.50044884736084				378.0
TFAP2E	EFS	efs.l	16.31947308139791	-2.141028855807857	2408.0	decreased	113.0
TFAP2E	EFS	efs.s	16.31947308139791	-0.6885779932922377	204.0	not changed	113.0
TFAP2E	CXCR4	cxcr4.l	16.307523786814706	0.4421683950720713	307.0	not changed	352.0
TFAP2E	CXCR4	cxcr4.s	16.307523786814706	-1.9022455316194835	2612.0	decreased	352.0
TFAP2E	MARCH8	march8.s	14.772845672564362	1.1600534331650765	171.0	not changed	115.0
TFAP2E	MARCH8	march8.l	14.772845672564362	1.3468027635263915	142.0	not changed	115.0
TFAP2E	FLRT3	flrt3.l	14.70081734461005	-1.7514054060243975	1400.0	decreased	370.0
TFAP2E	FLRT3	flrt3.s	14.70081734461005	0.7398919542788652	264.0	not changed	370.0
TFAP2E	RARG		13.833573225205637				636.0
TFAP2E	LMO4		11.814559961872192				405.0
TFAP2E	ITGA5	itga5.l	11.75865618242327	-0.7257486084603926	1291.5	decreased	563.0
TFAP2E	ITGA5	itga5.s	11.75865618242327	-0.5403691737070959	308.5	not changed	563.0
TFAP2E	EPHB1		11.716727551121927				271.0
TFAP2E	NT5DC2		11.56909396782974				354.0
TFAP2E	ABCF1		10.890014694331844				
TFAP2E	MAFB	mafb.l	10.53663021804641	-1.2967641713332738	1011.0	decreased	
TFAP2E	MAFB	mafb.s	10.53663021804641	-2.642182529446779	1447.0	decreased	
TFAP2E	SH3PXD2A	sh3pxd2a.l	10.461097240811087	-1.3215110707362034	1037.5	decreased	309.0
TFAP2E	SH3PXD2A	sh3pxd2a.s	10.461097240811087	-0.037816394103045	23.0	not changed	309.0
TFAP2E	SNRPA1		10.312186325926843				
TFAP2E	DLX2	dlx2.l	10.04033230223321	1.80145432061792	43.5	not changed	241.0
TFAP2E	DLX2	dlx2.s	10.04033230223321	-4.453956488571146	125.5	decreased	241.0
TFAP2E	AFAP1L1	afap1l1.s	9.946746355372731	-4.153246260295682	243.5	decreased	63.0
TFAP2E	AFAP1L1	afap1l1.l	9.946746355372731	-1.5717836732230737	1265.5	decreased	63.0
