TF	target	target_in_MO	GRNboost2_weight	MO_log2FC	MO_abs_diff	MO_change
ZIC1	MYCN	mycn.l	44.9765315612547	0.2823997307007249	16.0	not changed
ZIC1	MYCN	mycn.s	44.9765315612547	4.093511885923145	112.5	increased
ZIC1	ZIC3	zic3.l	44.715575901560335	-0.8512941290206442	2401.5	decreased
ZIC1	ZIC3	zic3.s	44.715575901560335	-0.7365383821284712	1350.0	decreased
ZIC1	ZIC2		26.33766368744045			
ZIC1	SFPQ	sfpq.l	23.11375410017771	-0.1322858510141856	1249.0	not changed
ZIC1	SFPQ	sfpq.s	23.11375410017771	-0.2470290573974527	2502.5	not changed
ZIC1	HNRNPA2B1		22.75168600800481			
ZIC1	C9		22.716018422673997			
ZIC1	SOX9	sox9.s	22.04111207776177	-0.3586909444742591	893.5	not changed
ZIC1	UBB		21.6610648158389			
ZIC1	EEF1D		21.304776962602208			
ZIC1	PTTG1		20.59526606132876			
ZIC1	MEIS2		20.054003867300874			
ZIC1	SOX2		19.72766210898437			
ZIC1	DLX2	dlx2.l	19.18613530277499	1.4150374992788437	2.5	not changed
ZIC1	DLX2	dlx2.s	19.18613530277499	0.0356239097307212	0.5	not changed
ZIC1	TFAP2C		18.577451536695484			
ZIC1	LRRC8E	lrrc8e.l	18.09831290621566	-1.2151096695924146	1818.5	decreased
ZIC1	CYP26A1	cyp26a1.l	17.599679201067985	-1.5861222234852854	830.0	decreased
ZIC1	CYP26A1	cyp26a1.s	17.599679201067985	-2.166805659598133	1616.0	decreased
ZIC1	TRMT112		16.92152490858475			
ZIC1	TMEM119	tmem119.l	16.839803915760974	3.321928094887362	13.5	not changed
ZIC1	TMEM119	tmem119.s	16.839803915760974	3.169925001442312	12.0	not changed
ZIC1	DYNLL2	dynll2.s	16.057300282355197	0.8244017901424932	491.0	not changed
ZIC1	DYNLL2	dynll2.l	16.057300282355197	0.1264680013379123	23.5	not changed
ZIC1	NACA	naca.l	15.01703086589649	-2.584962500721156	22.5	not changed
ZIC1	NACA	naca.s	15.01703086589649	0.2648971498509833	26.0	not changed
ZIC1	PAX3		14.260403021817003			
ZIC1	AKAP12		14.099256575183034			
ZIC1	MAP2K6		13.75762185210734			
ZIC1	GSTO1	gsto1.s	13.602551316476122	1.8017738897943043	46.0	not changed
ZIC1	VIM	vim.l	13.214472123561604	-0.924001124401283	2798.0	decreased
ZIC1	VIM	vim.s	13.214472123561604	-0.5381534029760638	160.5	not changed
ZIC1	PXN	pxn.l	13.20059360410405	1.33712861709497	245.0	not changed
ZIC1	PXN	pxn.s	13.20059360410405	0.0740900203973958	42.5	not changed
ZIC1	CHCHD2		13.13876909184326			
ZIC1	CADM1		13.03607567323958			
ZIC1	ROR2	ror2.l	12.943584462713398	-0.269963666882754	577.0	not changed
ZIC1	ROR2	ror2.s	12.943584462713398	-0.2208232209069346	369.5	not changed
ZIC1	PNO1	pno1.l	12.915519422490403	-0.0754005767413044	105.0	not changed
ZIC1	SERBP1		12.905618060250344			
ZIC1	PKDCC		12.244888085790942			
ZIC1	ITM2A	itm2a.l	12.210333714219963	-0.4712637098976792	435.0	not changed
ZIC1	ITM2A	itm2a.s	12.210333714219963	-0.3860108346547676	566.0	not changed
ZIC1	HNRNPA0	hnrnpa0.s	12.204281616166728	-0.8210872047134337	3275.5	decreased
ZIC1	EEF2		12.197361971903073			
ZIC1	NOC3L	noc3l.s	12.156127337084854	-0.6589894566046718	1583.5	decreased
ZIC1	UCP2		12.09127486023545			
ZIC1	KRT8	krt8.s	11.958229750131798	0.1970321728264343	1441.5	not changed
ZIC1	KRT8	krt8.l	11.958229750131798	-0.2621929835014259	940.0	not changed
ZIC1	MEF2C	mef2c.s	11.892163875311692	1.286304185156641	29.5	not changed
ZIC1	MEF2C	mef2c.l	11.892163875311692	2.92283213947754	39.5	not changed
ZIC1	GLO1		11.793089593856283			
ZIC1	COX17	cox17.l	11.772164842061008	-0.5787266989249793	133.5	not changed
ZIC1	COX17	cox17.s	11.772164842061008	0.2808676989211123	36.0	not changed
ZIC1	NAA10	naa10.l	11.748580200415924	0.2792837574788685	88.0	not changed
ZIC1	NAA10	naa10.s	11.748580200415924	0.3751942118103271	283.5	not changed
ZIC1	PFN1		11.669850897441007			
ZIC1	EEF1B2	eef1b2.l	11.38301549185143	-0.5012944891846038	1331.0	decreased
ZIC1	DCTD	dctd.l	11.03501596478456	-1.2120179403812814	210.0	not changed
ZIC1	CSRP2	csrp2.s	10.966349780944013	-1.1341652383247127	352.5	not changed
ZIC1	UNC5B		10.958745104310935			
ZIC1	TRA2A		10.878405638316323			
ZIC1	EEF1G	eef1g.s	10.730502756865762	-0.680312775180248	702.5	not changed
ZIC1	EEF1G	eef1g.l	10.730502756865762	-0.07644160229891	339.0	not changed
ZIC1	APOE	apoe.l	10.491539240228324	-1.0	0.5	not changed
ZIC1	APOE	apoe.s	10.491539240228324	2.1210154009613658	33.5	not changed
ZIC1	DBN1		10.459743019535978			
ZIC1	LMX1B		10.378245134536142			
ZIC1	LAMA1		10.299281119045968			
ZIC1	TAF13		10.04659198069018			
ZIC1	HIST1H2BM		10.035182314586455			
ZIC1	HNRNPH3		10.032094746551907			
ZIC1	SNRPD3		9.927771375292634			
ZIC1	HNRNPL	hnrnpl.s	9.9228892636104	-0.2289512106187344	1348.0	not changed
ZIC1	HNRNPL	hnrnpl.l	9.9228892636104	-0.374145485139378	3685.5	decreased
ZIC1	CCDC86		9.7926620296011			
ZIC1	ZNF608	znf608.l	9.785861488931063	-0.9076076894733888	646.0	not changed
ZIC1	ZNF608	znf608.s	9.785861488931063	-0.6203107625751885	411.5	not changed
ZIC1	NCAM1	ncam1.l	9.73493257491866	-0.6584744677778438	455.5	not changed
ZIC1	NCAM1	ncam1.s	9.73493257491866	-0.4864922973888517	426.5	not changed
ZIC1	ABCB5	abcb5.l	9.701434695410535	0.1349295800861086	2.5	not changed
ZIC1	EDNRA	ednra.l	9.61987673542066	0.15200309344505	2.5	not changed
ZIC1	EDNRA	ednra.s	9.61987673542066	1.4375321370659304	299.0	not changed
ZIC1	HNF1B	hnf1b.l	9.613348821349708	-1.2036806830123543	2015.5	decreased
ZIC1	HNF1B	hnf1b.s	9.613348821349708	-1.358291702687244	1599.0	decreased
ZIC1	MMP14	mmp14.s	9.586101229705992	0.4332997056715721	27.5	not changed
ZIC1	MMP14	mmp14.l	9.586101229705992	-0.6479722982469567	444.5	not changed
ZIC1	PHF20	phf20.l	9.47670037081784	0.3867595449517791	49.5	not changed
ZIC1	PHF20	phf20.s	9.47670037081784	0.7404046781329772	140.5	not changed
ZIC1	PBX2	pbx2.l	9.363232495559592	-1.1320505532114418	3245.0	decreased
ZIC1	PBX2	pbx2.s	9.363232495559592	-0.843164542519227	1622.5	decreased
ZIC1	PRPS1	prps1.l	9.33583160786871	-0.5697794545638268	917.5	not changed
ZIC1	GATM	gatm.l	9.194780277038207	-1.9966661829091557	9880.0	decreased
ZIC1	GATM	gatm.s	9.194780277038207	1.7183934881297844	98.5	increased
ZIC1	SURF2	surf2.l	9.14566790391618	0.3219280948873623	26.0	not changed
ZIC1	SURF2	surf2.s	9.14566790391618	0.4525122046975067	7.0	not changed
ZIC1	PMM1	pmm1.l	9.13318427061729	1.2492286063087634	241.0	not changed
ZIC1	ATP2A2		9.002259972220752			
ZIC1	ROMO1		8.943712591596597			
ZIC1	GSE1		8.917903993055141			
ZIC1	PDCD11		8.864265413721476			
ZIC1	SH3BP4	sh3bp4.l	8.851712339500574	-0.7728755542678237	261.5	not changed
ZIC1	SH3BP4	sh3bp4.s	8.851712339500574	-1.1619508121875428	474.0	not changed
ZIC1	EIF6	eif6.l	8.652372756337881	0.0108637188102963	10.0	not changed
ZIC1	EIF6	eif6.s	8.652372756337881	0.8799603819915508	931.5	not changed
ZIC1	HNRNPU		8.64406996824351			
ZIC1	AKIRIN1	akirin1.l	8.586311563242857	-0.7216262186708196	1166.0	decreased
ZIC1	NAP1L1		8.567802342060457			
ZIC1	UPF2	upf2.l	8.562448583634902	0.1926450779423958	9.0	not changed
ZIC1	UPF2	upf2.s	8.562448583634902	-0.1141306774681444	112.0	not changed
ZIC1	ZBTB16		8.49041710149714			
ZIC1	RAB30	rab30.l	8.482550089846624	2.5025003405291835	7.0	not changed
ZIC1	RAB30	rab30.s	8.482550089846624	0.3833286395515056	3.5	not changed
ZIC1	PFDN6		8.40444844754402			
ZIC1	CCT6A	cct6a.l	8.279671001113158	0.3007230181460044	260.5	not changed
ZIC1	CCT6A	cct6a.s	8.279671001113158	0.7815518465736936	1619.5	increased
ZIC1	KRT18	krt18.l	8.159451464478119	-0.4884487916028288	425.5	not changed
ZIC1	KRT18	krt18.s	8.159451464478119	-0.7633378071088343	1024.5	decreased
ZIC1	PIM1	pim1.l	8.145227735303738	-1.5336384565207442	723.0	decreased
ZIC1	PIM1	pim1.s	8.145227735303738	-1.7783599620135322	776.5	decreased
ZIC1	CFL1	cfl1.l	8.096352077711035	0.036604653958073	100.0	not changed
ZIC1	CFL1	cfl1.s	8.096352077711035	-0.0733433171768784	114.5	not changed
ZIC1	CDH11	cdh11.s	8.091931041640326	0.5849625007211562	1.5	not changed
ZIC1	CDH11	cdh11.l	8.091931041640326	-3.0874628412503395	187.5	decreased
ZIC1	TFAP2E	tfap2e.l	8.040524322414846	0.0544477840223765	2.5	not changed
ZIC1	TFAP2E	tfap2e.s	8.040524322414846	0.2112086828437721	87.5	not changed
ZIC1	FKBP14	fkbp14.l	7.976898968673051	-0.5929934282473371	425.0	not changed
ZIC1	CTCF		7.894117358476956			
ZIC1	ACTB		7.845571041352733			
ZIC1	BMS1	bms1.l	7.717484009656842	-0.7267603163739209	1691.0	decreased
ZIC1	EXOSC5	exosc5.l	7.716302912478653	-0.0919071746135038	76.5	not changed
ZIC1	NMRK2		7.694377772072963			
ZIC1	RRM2		7.682982051148775			
ZIC1	SRP54	srp54.l	7.61476918927105	-0.6835612890813385	944.0	not changed
ZIC1	SRP54	srp54.s	7.61476918927105	-0.4238721566536054	417.0	not changed
