from,to,weight,correlation
EGR2,EPHA4,237.3417483821449,positive
HOXD3,EPHA4,84.71882497236776,positive
MAFB,EPHA4,53.91886264516277,positive
EGR2,HOXD3,176.58692807094906,positive
MAFB,HOXD3,92.3089118803494,positive
HOXA3,HOXD3,46.151621592842304,positive
EGR2,MAFB,128.44843431683975,positive
HOXD3,MAFB,130.48783815875197,positive
ID3,MAFB,22.518330448192533,negative
EGR2,TUBB2B,70.1029634270198,positive
HOXD3,TUBB2B,39.29699831724247,positive
MAFB,TUBB2B,23.929245527282003,positive
EGR2,TFAP2A,25.46642385437174,negative
TFAP2C,TFAP2A,20.433836087755616,positive
OLIG2,TFAP2A,20.38819995603408,negative
EGR2,MMP14,21.966180824368447,positive
HOXD3,MMP14,26.094704473208235,positive
MYCN,MMP14,42.77907492484546,positive
EGR2,UCMA,21.18719674109427,positive
HOXD3,UCMA,29.999509324883203,positive
DLX2,ZMIZ2,36.22131471950373,negative
HOXD3,FBP1,41.70900973144162,positive
DLX2,ZEB2,25.304547736577945,negative
TFAP2C,VIM,51.98548288065883,negative
SOX9,VIM,23.946543761045337,negative
HOXB6,VIM,24.627091919071727,positive
MYCN,VIM,31.434875644633077,positive
DLX2,VIM,31.032332946494247,positive
ZBTB16,VIM,38.222431995334624,positive
NR6A1,VIM,30.96901567795204,negative
ZIC3,MEF2C,23.07939920910386,negative
MYCN,MEF2C,50.00024379086905,positive
TFAP2C,FBN2,21.888570856760893,negative
HOXB6,FBN2,41.33783644296573,positive
ZBTB16,FBN2,26.802295237179592,positive
HOXD3,SOX9,22.12812899079292,negative
TFAP2C,SOX9,108.7511272740196,positive
ZIC3,SOX9,20.02406384359094,positive
MYCN,SOX9,40.50309905612664,negative
SNAI2,SOX9,30.222777456143056,positive
ZIC1,SOX9,22.04111207776177,positive
NR6A1,SOX9,24.30064317426838,positive
MYC,SOX9,22.46433471054915,positive
MYCN,GSE1,20.53383080175799,negative
MYCN,LPCAT4,24.056867006117837,positive
SOX9,MYC,32.06602096208554,positive
TFAP2B,MYC,23.1173787609492,positive
SNAI2,MYC,28.241620015511927,positive
SOX8,MYC,24.43227009361461,positive
HOXD3,CECR2,21.92891496808111,positive
SOX9,SEMA4A,21.438276057905423,positive
MAFB,ZNF703,22.65214930533897,positive
MEIS2,SOX8,21.25912162379771,negative
TFAP2B,SOX8,50.868442348635696,positive
SNAI2,SOX8,48.745831375432296,positive
MYC,SOX8,21.25501243303501,positive
HOXD3,SOX10,21.71867483014972,positive
TFAP2B,SOX10,36.95620589703106,positive
TFAP2E,SOX10,27.210179911492475,positive
ZIC3,TFAP2B,35.442122846414144,negative
SNAI2,TFAP2B,20.66074889076909,positive
TFAP2E,TFAP2B,48.11283853459791,positive
SOX8,TFAP2B,38.70984187472721,positive
DLX2,RARG,37.01180721549487,positive
MAFB,MCM10,25.178248838048205,positive
MEIS2,NRP2,35.60971558463089,negative
ID3,NRP2,20.564293602847343,positive
HOXD3,ID3,28.1067819586038,negative
MAFB,ID3,38.64168834871165,negative
E2F7,PCNA,40.53303277880823,positive
MAFB,EPHB1,42.15167672995588,positive
TFAP2C,SNAI2,30.49850634922808,positive
SOX9,SNAI2,41.61787685749188,positive
TFAP2B,SNAI2,26.51183137200384,positive
DLX2,SNAI2,55.12101614395287,negative
SOX8,SNAI2,44.81970411053555,positive
HOXD3,TRIM8,22.00583232668352,positive
ZIC3,APOE,20.27644504033889,negative
MYCN,APOE,31.422047758958215,positive
DLX2,APOE,31.05080606198716,positive
MEIS2,CFH,25.04303683382264,negative
SOX8,CFH,24.957538874762268,positive
TFAP2C,PTTG1,44.69400062638007,positive
SOX9,PTTG1,24.786734953682583,positive
ZIC3,PTTG1,41.16905368358713,positive
MYCN,PTTG1,31.848558101763256,negative
ZIC1,PTTG1,20.59526606132876,positive
TFAP2C,ZBTB16,37.92944278704357,negative
DLX2,SNAI1,27.541176591482376,positive
MYCN,EDNRA,38.1550866909496,positive
DLX2,EDNRA,21.58962720723521,positive
MYCN,NOP2,22.108087779157387,positive
TFAP2B,NOP2,21.341233338442105,positive
NR2F1,EPHA2,99.70121647629912,positive
SOX9,EPHA2,27.219636279651844,positive
MEIS2,EPHA2,51.49482257000932,positive
NR2F1,EFNB2,54.5849397546949,positive
SOX9,EFNB2,29.252789549953544,positive
MEIS2,EFNB2,64.29591617602753,positive
MECOM,EFNB2,22.583566752710656,positive
HOXD3,FLRT3,23.888853472746497,positive
MAFB,FLRT3,42.91764653090708,positive
HOXD3,CFI,27.645850421375272,positive
MAFB,CFI,25.21043348866548,positive
HOXB3,CFI,22.815175663134397,positive
ZIC3,ATP2A2,27.500660386738637,positive
MYCN,ATP2A2,24.09243504097955,negative
MYCN,TRMT112,29.883094563937515,positive
NR6A1,DYNLL2,30.40053673744872,negative
ALX1,RPE65,103.16221158525929,positive
MEIS2,RPE65,21.123405379128894,negative
FOXC2,RPE65,54.52232793084404,positive
DMBX1,RPE65,28.280396636763214,positive
ZFHX4,RPE65,31.96109084513201,positive
DLX2,CDH11,39.73158613533811,positive
FLI1,CDH11,20.799608827865654,positive
MYCN,COX17,29.40609891566121,positive
PAX3,COX17,22.30256603192484,negative
EEF1D,COX17,25.32744228905932,positive
TFAP2C,EMP3,20.48747728054521,negative
DLX2,EMP3,33.06488181689112,positive
NR2F1,NRP1,36.84105647442356,positive
MEIS2,NRP1,23.066008397333903,positive
MEIS1,NRP1,26.220609978650685,positive
SOX9,TFAP2C,98.55035549289926,positive
ZIC3,TFAP2C,33.924185815062586,positive
MYCN,TFAP2C,39.209686946553816,negative
SNAI2,TFAP2C,20.079036182086327,positive
DLX2,TFAP2C,36.80733748659088,negative
SOX2,TFAP2C,34.702159298834864,positive
LMX1B,TFAP2C,22.235838922041328,positive
TFAP2B,SNCAIP,30.31675022161292,positive
TFAP2E,SNCAIP,26.6436086388907,positive
TFAP2C,ADAM19,28.10837679205902,positive
TFAP2B,DACT1,20.21601124810363,positive
SNAI2,DACT1,20.579562616071527,positive
TFAP2E,DACT1,28.060556234267125,positive
TFAP2B,SOX5,23.38420128638793,positive
MYCN,GSTO1,28.00393499914432,positive
DLX2,GSTO1,25.856319911472504,positive
MYCN,IMPDH1,23.33492059487794,positive
MYCN,DBI,23.42018393539601,positive
MYCN,SLC2A1,21.24173589238782,negative
MYCN,SHB,21.352508255996703,positive
HOXD3,MDK,33.98388832000633,positive
MAFB,MDK,32.565794131156295,positive
HOXB3,MDK,22.726951182372503,positive
TFAP2B,EGFLAM,39.29199109984071,positive
TFAP2E,EGFLAM,20.97817076931725,positive
TFAP2C,MYCN,47.60546450413548,negative
SOX9,MYCN,33.79912073231046,negative
ZIC3,MYCN,60.216857866522034,negative
DLX2,MYCN,53.69407853370545,positive
